OBJECTNUMMER;Straatvaknummer;Loopruimte;Walkability_algemeen;Drukte_algemeen;Walkability_recreatief;Drukte_recreatief;Walkability_toeristisch;Drukte_toeristisch;Walkability_werkgerelateerd;Drukte_werkgerelateerd;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
9433;9433;"zeer ruim";"goed";"druk";"goed";"druk";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"LINESTRING(4.874596 52.386728,4.87457 52.386711,4.874482 52.38671,4.874464 52.386698)";"LINESTRING(52.386728 4.874596,52.386711 4.87457,52.38671 4.874482,52.386698 4.874464)";4.87453;52.386713;
9434;9434;"ruim";"matig";"zeer druk";"matig";"zeer druk";"matig";"zeer druk";"matig";"druk";"LINESTRING(4.896976 52.371739,4.896825 52.371598,4.896783 52.371585)";"LINESTRING(52.371739 4.896976,52.371598 4.896825,52.371585 4.896783)";4.8968795;52.371662;
9435;9435;"ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"goed";"rustig";"goed";"rustig";"LINESTRING(4.874197 52.371979,4.874232 52.371953,4.874288 52.371948,4.874716 52.372053)";"LINESTRING(52.371979 4.874197,52.371953 4.874232,52.371948 4.874288,52.372053 4.874716)";4.8744565;52.3720005;
9436;9436;"zeer ruim";"goed";"zeer druk";"uitstekend";"rustig";"goed";"druk";"goed";"zeer druk";"LINESTRING(4.89381 52.380722,4.894145 52.380587,4.894416 52.380456,4.894371 52.380301,4.894391 52.380278,4.894321 52.380136)";"LINESTRING(52.380722 4.89381,52.380587 4.894145,52.380456 4.894416,52.380301 4.894371,52.380278 4.894391,52.380136 4.894321)";4.894113;52.380429;
9437;9437;"krap";"matig";"druk";"matig";"druk";"matig";"druk";"matig";"druk";"LINESTRING(4.871484 52.37239,4.871158 52.371902,4.871167 52.371889,4.871146 52.371884,4.870907 52.371525,4.87073 52.371192)";"LINESTRING(52.37239 4.871484,52.371902 4.871158,52.371889 4.871167,52.371884 4.871146,52.371525 4.870907,52.371192 4.87073)";4.871107;52.371791;
9438;9438;"ruim";"matig";"druk";"goed";"rustig";"uitstekend";"zeer rustig";"matig";"druk";"LINESTRING(4.913896 52.365229,4.913563 52.364878)";"LINESTRING(52.365229 4.913896,52.364878 4.913563)";4.9137295;52.3650535;
9439;9439;"ruim";"uitstekend";"zeer rustig";"uitstekend";"zeer rustig";"goed";"rustig";"goed";"rustig";"LINESTRING(4.884165 52.357806,4.884169 52.357795)";"LINESTRING(52.357806 4.884165,52.357795 4.884169)";4.884167;52.3578005;
9440;9440;"krap";"slecht";"zeer druk";"slecht";"zeer druk";"slecht";"zeer druk";"matig";"druk";"LINESTRING(4.891118 52.375009,4.891121 52.374993,4.891245 52.37495,4.891471 52.374876,4.8915 52.374881)";"LINESTRING(52.375009 4.891118,52.374993 4.891121,52.37495 4.891245,52.374876 4.891471,52.374881 4.8915)";4.891309;52.3749425;
9441;9441;"zeer krap";"goed";"zeer rustig";"goed";"zeer rustig";"matig";"rustig";"matig";"rustig";"LINESTRING(4.920776 52.358839,4.917763 52.358085)";"LINESTRING(52.358839 4.920776,52.358085 4.917763)";4.9192695;52.358462;
9442;9442;"krap";"matig";"druk";"matig";"rustig";"matig";"rustig";"matig";"druk";"LINESTRING(4.8815 52.371457,4.881686 52.371518,4.882289 52.37167)";"LINESTRING(52.371457 4.8815,52.371518 4.881686,52.37167 4.882289)";4.8818945;52.3715635;
9443;9443;"krap";"matig";"druk";"matig";"druk";"slecht";"zeer druk";"matig";"druk";"LINESTRING(4.881782 52.362914,4.881806 52.362904,4.881847 52.362912,4.881894 52.362858,4.882051 52.362805,4.882138 52.362822)";"LINESTRING(52.362914 4.881782,52.362904 4.881806,52.362912 4.881847,52.362858 4.881894,52.362805 4.882051,52.362822 4.882138)";4.88196;52.3628595;
